店铺名称,id,店铺图片,店铺电话,一级业态,二级业态,产品服务,店铺评分,人均价格,店铺标签,店铺描述,,,,
JAKET爵克,84043,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/15de8d3ff8634677bf48f0fc3fca4ea3_1120a513b40fb1d28d4e74a3f13fa53c.jpeg,15093259705,购物,服装,"男装,女装,童装,配饰,鞋履",3.5,￥450/人,收录3年好店,JAKET爵克他家主打高品质户外服饰和装备。店铺风格超有格调，装修充满自然气息。人气单品超多，像机能风外套，防风又酷帅。还有专业登山鞋，防滑又舒适。在这里能一站式get到超棒的户外好物，让你轻松应对各种挑战，尽情享受户外时光，分分钟变身户外潮人！,,,,
Mardi Mercredi,84971,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/44a2d9852646430db89c588448584f75_2315fd7d07cdb67b657a11c1fd1b25e5.jpeg,18239605497,购物,"鞋类,服装,箱包","服装,鞋子,包包",3.8,￥999/人,,Mardi Mercredi这家店风格超独特，装修超有氛围感。主打各种超萌的服饰和配饰，人气单品多到挑花眼。T恤上的图案超有趣，帽子也很有个性。不管是学生党还是上班族，都能在这里找到适合自己的穿搭。每次逛都忍不住剁手，穿上它瞬间感觉自己可爱加倍，时尚感up！,,,,
APM Monaco,85063,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/b6c168a5f9d64df78d794e887b41247c_%E9%BB%98%E8%AE%A4logo.png,67112998,购物,"鞋类,服装,箱包","时尚珠宝,时尚配饰,时尚鞋履,时尚服装,时尚包包",3.7,￥1061/人,正弘中心服饰鞋包人气榜第1名,APM Monaco他家是时尚珠宝品牌，门店风格超有格调。装修精致又华丽，灯光一打，首饰blingbling超吸睛👀。主打产品设计感超强，像经典的六芒星系列，戴上超显气质。人气单品多到挑花眼，从项链到手链，每一款都长在我的审美上😍。不管是日常出街还是重要场合，在这里都能挑到合适的珠宝，真的爱了！,,,,
周大福MONOLOGUE,83943,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/96b00d14d8b24fb5b7a801ef343c767f_3352f8a1e0ebdbd258711c1ebb0c463a.jpeg,37163469168,购物,珠宝首饰,"黄金首饰,钻石首饰,珠宝饰品,铂金首饰,K金首饰",4.6,￥7848/人,,周大福MONOLOGUE他家装修超有个性，满满的时尚感。主打产品是各种超酷的首饰，设计独特，风格超吸睛。人气单品有很多，比如黑蝴蝶系列，戴上瞬间气场两米八！很适合追求个性、喜欢独特风格的宝子们。不管是日常出街还是参加聚会，戴上他家饰品，绝对能让你成为焦点，分分钟种草！,,,,
森舍,84793,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/1958e6dde13843af8c1c480caf3414c5_93a7f4c252ec83eee965e2980031628a.jpeg,18154411319,购物,服装,"男装,女装,童装,鞋类,配饰",3.5,￥459/人,,森舍这店风格超独特，装修超有氛围感。主打产品超赞，像他们家的香薰蜡烛🕯️，味道绝绝子，点上瞬间幸福感拉满。还有各种精致小物，让人爱不释手。不管是想给自己寻觅好物，还是挑礼物送朋友，来这都超合适！每次逛都有新惊喜，真的太爱啦😍，赶紧冲！ ,,,,
嘻游大玩家,84889,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/21bb7413910b40c9a34c965019ac9530_269a9aca1adf861edda7c1212bcb1247.jpeg,19139738215,休闲娱乐,电玩城,"电子游戏设备体验,抓娃娃机,跳舞机,投篮机,赛车模拟器",4.3,￥48/人,正弘中心电玩城销量榜第1名,嘻游大玩家风格超酷炫，装修超有特色，一进去就像掉进欢乐星球🌏。主打各种刺激好玩的游乐项目🎢，人气超旺🔥。不管是小朋友还是大朋友，都能在这找到快乐源泉😜。玩到根本停不下来！快拉上小伙伴来这儿尽情撒欢，享受快乐时光呀😎！,,,,
基诺浦,85067,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/0dc665a2097948ad8564a9b59f9f2522_%E5%9F%BA%E8%AF%BA%E6%B5%A6.jpeg,13939042736,购物,鞋类,"童鞋,儿童运动鞋,儿童机能鞋,儿童休闲鞋,儿童凉鞋",3.5,￥498/人,,基诺浦主打童鞋👟，店铺风格简约舒适。装修很贴心，陈列一目了然。人气单品超多，像机能鞋，轻便又护足。学步鞋柔软度绝绝子，助力宝宝稳稳学步。好多妈妈反馈，基诺浦的鞋子质量超棒👍，款式也好看。给宝宝穿，舒适又放心😌。宝宝的小脚丫要好好呵护，就选基诺浦啦！ ,,,,
海马体照相馆,84210,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/f27881b3a6ab47d9b4ba3bcbd8dff16b_caf71a4859e88c7d350300a9346dc26c.jpeg,18337823818,生活服务,摄影服务,"证件照拍摄,形象照拍摄,结婚登记照拍摄,艺术照拍摄,儿童摄影",4.8,￥231/人,金水区闺蜜写真销量榜第4名,海马体照相馆主打精致证件照、文艺写真等。店铺风格简约时尚，装修超有氛围感✨。人气单品多多，像轻私房写真，能拍出独特韵味。拍出来的照片超赞，修图细致，分分钟get明星同款。超适合爱美的姐妹、上班族拍证件照，还有情侣拍纪念照哦！来这拍照，留下美美的瞬间，绝对不踩雷😘。 ,,,,
卡游,83772,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/37f90a393c304e3d8163ff35946c04c4_900853def8bc4bcadd7f8444b4eb0bdf.jpeg,15238321043,购物,"玩具,礼品","动漫卡片,潮玩周边,文具礼品,手办模型,拼图玩具",4.8,￥106/人,郑州杂货礼品好评榜第2名,卡游这里简直是卡牌爱好者的天堂🎮。店铺风格超酷炫，装修特色满满，一进去就被各种精美的卡牌吸引😍。他家主打各类热门动漫IP的卡牌，人气单品超多。无论是火影忍者、海贼王，还是斗罗大陆的卡牌，品质都超棒👍。适合学生党、动漫迷们来疯狂囤货，每次来都能挑到心仪的卡牌，太快乐啦！,,,,
一撇一捺,83814,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/4624e7de82f647459e44c4e8ee65d58a_da59cd2a9963a655f7f3881e0e4b5bab.jpeg,18946527082,购物,"鞋类,服装,箱包","服装,鞋子,包包",3.5,￥600/人,收录4年好店,一撇一捺装修超有风格，独特又吸睛。主打产品超赞，每一款都能看出用心。人气单品更是让人爱不释手。不管是追求个性的潮人，还是喜欢独特风格的小伙伴，都能在这里找到心头好。进去逛一圈，仿佛进入了一个独特的时尚小世界，真的太好逛啦，赶紧冲！,,,,
歌莉娅,84052,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/210386f21277481b921ab6d158e8d9f2_5903e7cb4531462c79e1b7395afb3b73%20%281%29.jpeg,18736245809,购物,服装,"女装,男装,童装,配饰,鞋履",3.5,￥1398/人,收录6年好店,歌莉娅装修超有格调，满满的时尚氛围感✨。主打各类美衣，风格多样，从清新甜美风到优雅气质范，应有尽有。人气单品有很多，比如碎花裙，穿上就是温柔小仙女🧚‍♀️。还有简约的牛仔裤，百搭又好看。无论你是学生党还是职场丽人，都能在这里找到适合自己的那一款。快来歌莉娅，邂逅属于你的时尚吧💃！ ,,,,
SALOMON萨洛蒙,84594,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/9064a7e8a9f743f7bdd6ae020726aee8_58bba51a1fe7144e01522e61b89aed8b.jpeg,18625620685,购物,服装,"户外运动鞋,户外运动服装,户外背包,滑雪装备,徒步装备",4.8,￥1330/人,建业凯旋广场服饰鞋包好评榜第1名,SALOMON萨洛蒙店铺风格超酷，装修很有运动氛围。主打各类专业运动装备，尤其是鞋子，设计感超棒！像他家的人气单品XT-6系列，颜值高又超耐穿。很多户外运动爱好者都爱惨了，穿上它徒步、登山啥的，轻便舒适又防滑，能轻松应对各种路况，咱日常出街穿也超吸睛，赶紧冲！,,,,
NIKE品牌体验店,84068,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/a68e1de3592e401ba8f9b3c56f0a9b38_nike.jpg,15736773116,购物,运动用品,"NIKE运动鞋,NIKE运动服装,NIKE运动配件,NIKE运动装备,NIKE个性化定制服务",3.4,￥895/人,郑州运动户外热门榜第7名,NIKE品牌体验店运动氛围超燃🔥 店铺风格简约时尚，装修超有质感。主打各种超酷的运动装备，从专业跑鞋到潮流运动服饰，应有尽有。人气单品多得数不过来，像Air Force 1经典小白鞋，百搭又好看。无论你是运动达人还是时尚爱好者，都能在这里找到心头好，赶紧来感受NIKE的魅力吧！,,,,
XGIMI极米投影,84864,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/9d96f3a6e5bc4495af24bff446119c18_e961c7be2f588d09b7ce5f210adca542.jpeg,15890011483,购物,智能家居产品,"投影仪,智能投影仪,家用投影仪,便携投影仪",4.8,￥5855/人,郑州家具家居好评榜第2名,XGIMI极米投影投影超绝👍。店铺风格简约时尚，装修很有科技感。主打产品投影画面超清晰，色彩超逼真，在家就能享受大屏影院的感觉。人气单品H3S，亮度高、功能强。不管是租房党想打造私人影院，还是家庭想增添观影乐趣，都超适合。用了就爱上，赶紧冲！,,,,
Columbia,84080,https://prod-deployment.oss-cn-hangzhou.aliyuncs.com/8dce21bb9699472eb75ee0d83fa8a335_ea23ac9ef903bfe0b08bc22c5c672e77.jpeg,16692349850,购物,运动户外,"户外服装,户外鞋,户外背包,户外帐篷,户外冲锋衣",3.4,￥1576/人,收录6年好店,Columbia户外装备超专业，店铺风格简约又大气。装修特色满满，陈列有序。主打产品功能性超绝，像冲锋衣防水透气，徒步鞋轻便防滑。人气单品更是多到挑花眼。很适合热爱户外运动的宝子们。不管是登山、徒步还是露营，Columbia都能给你全方位的保障，让你尽情享受户外时光，赶紧冲！,,,,
