,店铺名称,store_id,所属品牌,店铺地址,营业时间,店铺电话,会员权益,店铺描述,店铺亮点,店铺评分,人均价格,适合就餐人数,适合场景,一级业态,二级业态,菜系,口味,辣度,设施,服务,环境,排队信息,店铺招牌,店铺图片,picture,
1,薛记炒货,83803,薛记炒货,郑州正弘城B1,10:00-22:00,15136432871,,"😍宝子们，一定要来薛记炒货呀！

🥜他家主打各种炒货，坚果、果脯、炒货零食超丰富。店铺风格简约明亮，一进去就能看到满满当当的美味。

🌰人气单品那可太多啦，像奶香核桃，又香又脆，奶香味超浓郁；还有蟹黄味瓜子仁，咸香上头，一口一个根本停不下来。

🤗适合人群超广，追剧的时候来一包，嘴巴根本闲不下来；上班、上学带几包，随时补充能量。无论是自己吃还是送人，薛记炒货都超合适，每次路过我都得进去囤点！ ",收录3年,4.3,¥44/人,1-2人,"朋友,一个人",餐饮美食,其他美食,干果,"甜,咸",不辣,"有停车场,有WIFI","纸巾提供,可带宠物","复古风,热闹",,,,,
2,福前小酥肉,83833,福前小酥肉,郑州正弘城B1,10:00-22:00,18539821818,," 一口酥肉，一口福！这家宝藏小酥肉店必须安利🎉
🌮店名：福前小酥肉
📍位置：[具体地址]

一进店，就能闻到酥肉的香气，简直太诱人啦😍！店铺装修很有特色，满满的国潮风，让人眼前一亮✨。

他家主打小酥肉，现点现炸，出锅的酥肉金黄酥脆，咬一口“嘎吱”响，肉嫩多汁，撒上调料，味道绝绝子👍！还有多种口味可选，满足不同味蕾~无论是逛街累了来一份，还是追剧时当零食，都超合适😋。不管是小吃货还是打工人，福前小酥肉都能给你带来满满的幸福感，快来尝尝吧🥰！ ",收录5年,4.2,¥16/人,"1-2人,3-4人","情侣,朋友,孩子",餐饮美食,小吃快餐,西北菜,"咸,辣",微辣,"有停车场,有WIFI","纸巾提供,可带宠物","复古风,热闹",,,,,
3,薇薇安,83835,薇薇安,郑州正弘城B1,10:00-22:00,13015533079,,从海南火到全国的「千层蛋糕天花板」，靠泰国金枕榴莲千层和海南凯特芒果千层圈粉无数！每层1mm超薄蛋皮+爆浆果肉，挖一勺直接视觉暴击💥 隐藏玩法：冷冻2小时变冰淇淋蛋糕，咸奶油奥利奥款甜咸党必冲！小红书博主狂晒“厚度对比图”，配文“这果肉含量是真实存在的吗？！” 进店暗号“小红书来的”送迷你试吃装，生日福利送「榴莲抱抱桶」~ 从微商起家到全国连锁，薇薇安用实在用料成为甜品界内卷之王！,经三路沿线面包甜点热门榜·第一名,4.2,¥38/人,"1-2人,3-4人","情侣,家人,朋友",餐饮美食,面包甜点,甜品饮品 奶茶,"甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,儿童餐具","现代简约,花园风,靠窗",,,,,
4,徐叨叨,83836,徐叨叨,郑州正弘城B1,10:00-22:00,13526853526,,"🍜徐叨叨小吃｜社畜の深夜味蕾觉醒！川豫混血面条暴击碳水脑
真实背景核验：
河南本土爆款小吃，创始人徐叨叨曾任川菜厨师，2023年自创“烩面×川味红油”配方抖音出圈，洛阳3家直营店稳居大众点评面馆热门榜TOP3，获河南电视台《香香美食》专题报道（2023.11.19）。
灵魂暴击三件套：
🔥 甩锅烩面——
▫️ 混血基因：河南手扯裤带面+川式㸆辣椒油，浇头塞满卤牛腱+溏心蛋
▫️ 名场面：店员甩面入锅喊“甲方甩锅？俺把锅气甩回去！”
🔥 KPI煎饼——
▫️ 杂粮脆皮卷肥肠荆芥，刷秘制腐乳辣酱，夜班党称“续命弹药库”
🔥 摸鱼豆腐串——
▫️ 洛阳高碑豆腐冷热两吃，芝麻酱拌油泼辣子蘸汁，香到摸鱼被逮也不撒手",金水万达/蓝堡湾小吃快餐好评榜·第四名,4.2,¥20/人,1-2人,"朋友,同事,一个人",餐饮美食,小吃快餐,小面,"咸鲜,甜咸,酸辣",微辣,"有停车场,有WIFI","扫码点餐,纸巾提供","中式典雅,有卡座,明亮",,,,,
5,热热热干面,83842,热热凉凉热干面凉面,郑州正弘城B1,10:00-22:00,15038185226,,"🥢宝子们，发现一家超赞的热干面店👉热热热干面🎉！

一进店，浓郁的武汉风情装修就超吸睛😍，木质桌椅、复古招牌，满满都是烟火气🎇。】
他家主打热干面，面条劲道有嚼劲，芝麻酱香气扑鼻，每一口都超满足🤩！配菜丰富爽口，一口面一口菜，绝了👍！

无论是忙碌的上班族💼，还是爱尝鲜的吃货们😋，都超适合来这儿！吃一碗热干面，瞬间活力满满💪！宝子们一定要来试试，保证让你爱上这口热干面🥰！ ",郑州热干面菜品榜第10名,4.2,¥19/人,1-2人,"朋友,同事,一个人",餐饮美食,小吃快餐,小面,"咸鲜,甜咸,酸辣",微辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供","复古风,热闹",,,,,
6,阿甘锅盔,83845,阿甘锅盔,郑州正弘城B1,10:00-22:00,18825735726,," 一口酥脆，香到停不下来😋阿甘锅盔，我心中的美食宝藏！

🌮他家的锅盔种类超丰富，梅干菜、鲜肉、牛肉……每一种都香得让人疯狂！刚出锅的锅盔，外皮金黄酥脆，咬一口“嘎吱”作响，内里馅料满满，香气瞬间在嘴里爆开。

🏠店铺装修简洁明亮，开放式的制作空间，能清楚看到师傅们熟练地擀面皮、包馅料、烘烤，整个过程干净又卫生。

无论是上班途中来一个当早餐，还是逛街时买一个解馋，阿甘锅盔都超合适！宝子们一定要来尝尝，保证你吃一次就爱上💕

 美食探店 阿甘锅盔 锅盔美食 ",收录6年,4.1,¥10/人,1-2人,"情侣,朋友,一个人",餐饮美食,小吃快餐,小吃快餐 兰州拉面,"辣,咸鲜",微辣,"有停车场,有WIFI,商场公共卫生间",纸巾提供,"现代简约,有卡座,热闹",,,,,
7,霸王茶姬,83847,霸王茶姬,郑州正弘城L8,10:00-22:00,15729382905,,"😍宝子们，一定要来试试霸王茶姬呀！

🎀它家店铺风格超有韵味，新中式装修超吸睛。

🥤主打茶饮超绝！像伯牙绝弦，茶底清香，奶油顶细腻香甜；声声乌龙，茶香与奶香完美融合，口感层次丰富。

💃人气超高，不管是逛街累了想找个地方歇歇脚，还是和闺蜜约会，来这买杯茶饮都超合适。

🤗真的会被它家独特的茶香和用心的制作所折服，喝过一次就爱上，完全是茶饮界的宝藏店铺，适合所有爱喝茶饮的宝子们！ ",郑州茶饮果汁打卡人气榜·第3名,4.6,¥18/人,1-2人,"情侣,朋友,孩子",餐饮美食,"奶茶,咖啡","甜品饮品 奶茶,茶饮空间,下午茶","甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,可带宠物","现代简约,有卡座,明亮",,,,,
8,栗子来了,83851,栗子来了,郑州正弘城B1,10:00-22:00,18538166169（叶棵方）,," 🍰栗子来了 | 甜品控的宝藏小店
宝子们，一定要来这家“栗子来了”！

店里装修超温馨，满满的ins风，一进去就感觉心情超好。

他们家主打栗子系列甜品，像栗子千层，每一口都能吃到绵密栗子泥，搭配轻盈奶油，绝绝子！还有栗子蒙布朗，造型可爱，味道更是惊艳。

人气超高的单品还有栗子巴斯克，浓郁的芝士味混合着栗子香，吃一次就忘不了。

不管是下午茶想小酌，还是和姐妹聚会，这里都超合适。甜品脑袋们快来冲，保证让你满意而归！ ",收录6年,4,¥23/人,1-2人,"情侣,朋友,孩子",餐饮美食,其他美食,茶点铺,"咸鲜,甜咸",不辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,可带宠物","中式典雅,靠窗,亲子友好",,,,,
9,极拉图,83855,极拉图·现制冰淇凌,郑州正弘城B1,10:00-22:00,15136725672,," 🍦极拉图 | 冰淇淋脑袋的天堂！
宝子们，发现一家超绝的冰淇淋店——极拉图！
他家装修超有特色，满满的ins风，随手一拍都很出片📸 一进店，各种高颜值的冰淇淋就像艺术品一样摆在面前，让人挑花眼😍
主打产品是意式手工冰淇淋，口味超丰富！人气单品“多肉葡萄雪泥”，葡萄味超浓郁，还能吃到真实果肉，一口下去超满足🤩
不管是小朋友还是大朋友，只要是喜欢吃冰淇淋的，来这准没错！宝子们一定要来尝尝，保证你吃一次就爱上💖",郑州冰淇凌好评榜·第1名,4.4,¥14/人,1-2人,"情侣,家人,朋友",餐饮美食,奶茶,"冰淇淋,冰粉","甜,酸甜",不辣,"有停车场,有WIFI,商场公共卫生间","扫码点餐,纸巾提供,可带宠物","现代简约,安静,明亮",,,,,
10,一起凉皮吧,83858,一起凉皮吧,郑州正弘城B1,10:00-22:00,18638798472（陈婷）,,"宝子们，今天必须给你们安利一家超绝的凉皮店——一起凉皮吧！

他家装修超有特色，简洁明亮又带着浓浓的市井气息。

主打各种口味的凉皮，每一款都堪称经典！凉皮筋道爽滑，配菜丰富爽口，酱汁浓郁超入味。人气单品麻酱凉皮，麻酱香气十足，和凉皮搭配简直绝了！不管是忙碌的上班族，还是追求美味的学生党，都超适合来这儿。吃一口他家凉皮，瞬间开启舌尖上的清爽之旅，保证让你一口接一口，根本停不下来！赶紧冲呀！ ",正弘中心小吃快餐打卡人气榜·第4名,4.3,¥14/人,1-2人,"家人,朋友,同事",餐饮美食,小吃快餐,西北菜,"咸鲜,酸辣",微辣,"有停车场,有WIFI,商场公共卫生间","纸巾提供,可带宠物","中式典雅,热闹,明亮",,,,,
